name,type,startTime,endTime,description,speakerNames
Protect Your Company’s IP at Startup or Pay the Price Later | presented by Jones Walker,Session,"3/23/2021, 2:15:00 PM","3/23/2021, 2:55:00 PM","One of a company’s most important assets is its confidential, proprietary, and trade secret information. Investors understand this issue and will investigate the steps taken by the company to protect that information before deciding to invest. We will discuss the necessary actions to protect your startups confidential, proprietary, and trade secret information, so that when investors ask, you will be prepared to show that all proper steps were taken. These steps include confidentiality and non-disclosure agreements, work for hire agreements, non-competition/non-solicitation agreements, proper IT security controls, computer/email use policies, etc.",MICAH FINCHER ; JOSEPH F. LAVIGNE
Perfect Equity Splits for Co-Founders,Session,"3/23/2021, 2:55:00 PM","3/23/2021, 3:25:00 PM","You and a partner go in “50/50” on a new business. You do all the work, he owns half the company. Now what? Slicing Pie outlines a simple method for dividing equity in an early-stage company that tells you exactly the right number of shares for each participant. All other methods of dividing up equity create problems- all of them. Slicing Pie gives you a way to acquire the things you need to build your business without cash. This is the perfect seminar for anyone who wants to start their own company. Based on the book Slicing Pie, by Mike Moyer.",MIKE MOYER
Tuesday WorkNOLA Recruitment Power Hour Kickoff,Session,"3/23/2021, 3:30:00 PM","3/23/2021, 3:40:00 PM","The Idea Village has teamed up with GNO, inc to make NOEW a hub for recruitment where attendees will be able to network and connect with tech and innovation career opportunities in the Greater New Orleans area in the WorkNola Talent Den.Make sure to select ""Job Seeker"" during registration if you're interested in connecting with companies.",
WorkNOLA Spotlight Session: Revelry,Session,"3/23/2021, 3:40:00 PM","3/23/2021, 3:55:00 PM","Speakers:Jeff Ramos, People Operations ManagerLuke Ledet, CTOMax Walters, Sales",
WorkNOLA Spotlight Session: Microsoft - TEALS,Session,"3/23/2021, 3:55:00 PM","3/23/2021, 4:10:00 PM",Speaker: Lucia Berliner,
Daily Sips with Turning Tables | Tuesday,Session,"3/23/2021, 4:35:00 PM","3/23/2021, 4:40:00 PM","Kickoff happy hour and head into our NOEW @ Night series with a cocktail in hand. Featuring Exclave Spirits, Seven Three Distilling , and El Guapo Bitters, watch this daily demo, presented by Turning Tables so you can ma ke the perfect drink at home. If you’re local, pick up the cocktail kit for each night at Grande Krewe Fine Wine & Spirits.  Tuesday's featured cocktail:MANY HATSBuild in a Glass1.5oz 73 Black Pearl Rum3/4 El Guapo Lime CordialTop with Ginger Beer2x El Guapo Spiced Cocoa",TOURÉ FOLKES
Tuesday NOEW @ Night | presented by Ochsner Health,Session,"3/23/2021, 4:50:00 PM","3/23/2021, 6:30:00 PM","Join us for an evening around the topic of Corporate Innovation from the iconic New Orleans music venue, Tipitina’s.Hosted by COO of The Idea Village, Brenna Kane, the night kicks off with a keynote from Christina Wallace, Senior Lecturer of Entrepreneurial Management at Harvard Business School. A self-described human venn diagram, and author of New to Big, Christina will answer the question “Can Startups + Corporates Play Well Together?”.The conversation segues into a panel discussion aptly titled, Big Companies Tackling Big Problems. There is a growing community of best practices in corporate innovation in New Orleans and the surrounding region with companies making major investments in innovation infrastructure that will shape what our business community will look like over the next 20 years. Hear from local leaders from Entergy, Ochsner, and Intralox who are driving this work and laying the groundwork for others to follow.Leading this all-star panel is battle-tested entrepreneur, innovator, leader, and growth-driver, Leslie Bradshaw. Honored as one of the most influential female executives in tech, Leslie is an all-around innovator focused on helping grow people and revenues.Last but not least, make sure to have your speaker volume on high to close out the evening, as local favorites Water Seed bring a high-energy performance that you won’t want to miss from the Tip’s stage.Special thanks to Tipitina’s and our film crew, Elephant Quilt Productions, for making this night possible.",LESLIE BRADSHAW ; JOHN F LANDRUM ; MICHAEL CROSS ; CHARLOTTE PIPER ; WATER SEED ; CHRISTINA WALLACE
ResTech Conference at NOEW | presented by Lucid,Session,"3/24/2021, 10:00:00 AM","3/24/2021, 1:35:00 PM","Kicking off the ResTech at NOEW Conference is our opening Keynote with Patrick Comer, CEO Lucid, and Ethan Zweig from Qatalyst to detail their vision for the value of the ResTech industry and its promising future.At this conference, our goals are to explore the rise of ResTech, highlight companies working in the space, and get investors’ perspectives on the industry.The day kicks off with a keynote from Patrick Comer and Ethan Zweig on the rise of ResTech. Following that, we’ll have a series of presentations and discussions from companies representing the innovative ventures within the ResTech industry. 10:45–11:15AM CDTResTech Company Presentation | Feedback Loop’s Rob Holland____11:20AM–11:50AM CDTResTech Company Presentation | Prodege’s Chuck Davis____11:55AM–12:25PM CDTResTech Company Presentation | Attest’s Jeremy King____12:30 PM - 1:30 PM CDTWe’ll close the day with an Investor panel where we’ll hear  the immediate and long-term potential of the ResTech industry featuring world-class investors and voices familiar with our space.",JEREMY KING ; ETHAN ZWEIG ; LEXIA SCHWARTZ ; ELI CRYSTAL ; BRIAN ANDERSEN ; STEPHEN MASTERS ; WILL BIHRLE ; XIAOYING ZHONG ; PATRICK COMER ; CHRIS CAVANAGH ; ROB HOLLAND ; BRETT SCHNITTLICH ; CHUCK DAVIS ; SIMA VASA
Startup New Orleans Site Tour,Session,"3/24/2021, 1:35:00 PM","3/24/2021, 2:10:00 PM","Virtual Tour of New Orleans from the view of startups. Highlighting co-working, community resources, quality of life, and educational amenities. Also, showing off the types of offices in New Orleans popular with startups.",LOUIS DAVID
IDEAinstitute: Launch Your Idea into a Scalable Startup,Session,"3/24/2021, 2:15:00 PM","3/24/2021, 2:35:00 PM","Corey James, the program manager for The Idea Village, will be talking about the upcoming IDEAinstitute program. This 10 week pre-accelerator program introduces potential startup founders and early-stage ventures to the tools they need to take their startup from an idea to a scalable business. Founders will walk away from the program with a plan to build a business following the Lean Startup Methodology, and they will meet a community of like-minded founders along the way.",
Tech Workforce Pipeline,Session,"3/24/2021, 2:40:00 PM","3/24/2021, 3:30:00 PM","In New Orleans, there are incredible local organizations that support the technology workforce pipeline in our community. Increasing opportunities for people to get into the tech industry has always been crucial, and with COVID-19 greatly impacting the service industry and the thousands of people who rely on it for work, it has never been more important to break down barriers to entry and showcase the organizations that offer support for people seeking to enter into the tech industry. This panel will engage representatives from Upriver Solutions, NOLAVATE Black, Operation Spark , and Youthforce NOLA that support b uilding the skills needed for success in the various technical and nontechnical positions within tech companies as well as advice from executives at Lucid, Levelset, and Skilltype that are looking to hire.",COURTNEY WILLIAMS ; NICOLE PATEL ; MARTIN ROTH ; JOHN FRABONI ; CATE SWINBURN ; SABRINA SHORT
Wednesday WorkNOLA Recruitment Power Hour Kickoff,Session,"3/24/2021, 3:30:00 PM","3/24/2021, 3:40:00 PM","The Idea Village has teamed up with GNO, inc to make NOEW a hub for recruitment where attendees will be able to network and connect with tech and innovation career opportunities in the Greater New Orleans area in the WorkNola Talent Den.Make sure to select ""Job Seeker"" during registration if you're interested in connecting with companies.",
WorkNOLA Spotlight Session: iSeatz,Session,"3/24/2021, 3:40:00 PM","3/24/2021, 3:55:00 PM","Speaker: Jasmyn Farris, VP People Operations",
WorkNOLA Spotlight Session: Halliburton Labs,Session,"3/24/2021, 3:55:00 PM","3/24/2021, 4:10:00 PM",Speakers: Dale Winger and Scott Gale,
WorkNOLA Spotlight Session: LookFar,Session,"3/24/2021, 4:10:00 PM","3/24/2021, 4:25:00 PM","Speaker: Chris Reade, President of LookFar and Club Discovery",
Daily Sips with Turning Tables | Wednesday,Session,"3/24/2021, 4:35:00 PM","3/24/2021, 4:40:00 PM","Kickoff happy hour and head into our NOEW @ Night series with a cocktail in hand. Featuring Exclave Spirits, Seven Three Distilling, and El Guapo Bitters, watch this daily demo, presented by Turning Tables so you can make the perfect drink at home. If you’re local, pick up the cocktail kit for each night at Grande Krewe Fine Wine & Spirits. Wednesday's featured cocktail:THE STARTUPStirred2oz Exclave.5oz El Guapo Sweet Potato CordialAdd Ice & Stir3-4x El Guapo Pecan Bitters1x Angostura BittersAdd 1oz (or shot glass) New Orleans French Market Cold Brew Mixture",TOURÉ FOLKES
Wednesday NOEW @ Night | presented by AWS Activate and Halliburton Labs,Session,"3/24/2021, 4:50:00 PM","3/24/2021, 6:30:00 PM","Wednesday’s NOEW @ Night segment focuses on the future of startup communities. Coming to you from The Music Box Village in the 9th ward, Andrew Albert, Director of New Orleans for VFA, will introduce you to some of our friends in Colorado who have been the driving forces behind the methodologies in place today. First up is Pat Riley, CEO of GAN, presenting on The Whole Economy, a talk about building an economy that is additive, regenerative, and most importantly, equitable.He will then be joined on the virtual stage by Brad Feld and Dan Caruso for a truly special fireside chat to discuss: A 20 Year Movement; Act 2: What It Means to Build A Startup Community in the 21st Century.Brad Feld is one of the globe’s leading thinkers on how to build a startup community and founder of Techstars. He pioneered the idea that innovation could thrive anywhere by extrapolating from the experience of how Boulder, CO could become a community that consistently generates 6x more high-tech startups per capita than the national average. And Dan Caruso is one of those exceptional founders to emerge from the Boulder ecosystem – Dan founded Zayo Group in 2007, which he has led from startup to IPO. The incredibly talented artists at Material Institute will close out the evening. You'll see a collaboration between two of their programs – The Embassy and the Fashion & Textiles program, set amongst the installations of The Music Box Village.Special thanks to New Orleans Airlift, Material Institute, and Elephant Quilt Productions, for making this night possible.",DANIEL P CARUSO ; CHERISE JANAE LOCKETT ; ANDREW ALBERT ; MELANIE REUPKE ; N'IYA ALEÏA ; LUCIA HONEY ; YUNG JUNE ; AMETHYST STARR ; MARLENCE . ; PATRICK RILEY ; BRAD FELD ; TANYWEY .
Thursday Daily Briefing,Session,"3/25/2021, 10:00:00 AM","3/25/2021, 10:12:00 AM","Tune into NOEW’s morning briefing to catch the latest news, highlights, and schedule updates for the week, plus special announcements and giveaways.",
Thursday Coffee with Cubs | presented by French Market Coffee,Session,"3/25/2021, 10:12:00 AM","3/25/2021, 10:28:00 AM","Grab your cup of joe and join Cubs the Poet each morning  for a roundtable discussion between a local New Orleans artist, and a local New Orleans tech startup entrepreneur. The three parties will engage in conversation surrounding the driving forces in their founder journey for their respective industries, connecting the similarities between the two. Thursday's session features Charon Flowers Maple of BypassLines and Tatum Neill of Elevate Hair TV.",CHARON FLOWERS MAPLE ; TATUM NEILL
The New Normal vs. the Next Normal,Session,"3/25/2021, 10:30:00 AM","3/25/2021, 11:05:00 AM","In this session, a few New Orleans Chamber members will share their successes of 2020 and how they continue to reshape their business plans for what comes next. Several businesses have taken a devastating hit amid the tumultuous year, as many failed to plan for such an unforeseen scenario as a global pandemic. Experts say that developing a strategic plan for the post-COVID world is absolutely essential for any business to succeed moving forward. So how does that business model look this year? How is it different than previous years? Hear from 3 business owners on how they plan to transition in the upcoming year, and the important factors which they feel will be defined for any business to excel against the odds.","THERESA MARIE JONES, CSA ; TODD MATHERNE ; LUZ LOBOS"
The Future of Justice,Session,"3/25/2021, 11:10:00 AM","3/25/2021, 11:25:00 AM","Civil justice regulatory reform is underway. It's a movement to create a system that works for all people and replace a system of regulatory reform that perpetuates racial, gender, and economic inequities. In response to the country's racial reckoning spurred by the deaths of George Floyd, Breonna Taylor, and Ahmaud Arbery, among others, there has been a leap-frog of reaffirmation of all things justice. Legal innovation and legal technology startups are leading the charge. The entire purpose of legal technology is to make the law more accessible and easier to navigate for lawyers, clients, and self-represented litigants alike. Technology is the future of the industry, and thus, those who shape the tech will shape the future of justice.",SIMONE SPENCE
2021 Tulane Business Model Competition Finals,Session,"3/25/2021, 11:30:00 AM","3/25/2021, 12:50:00 PM","Hosted by the Albert Lepage Center for Entrepreneurship and Innovation at Tulane’s A. B. Freeman School of Business, this student startup competition features teams that include at least one degree-seeking undergraduate or graduate student from any college or university. The contest rewards those that are creating commercially viable ventures through breaking down an idea into a key business model hypothesis, have tested their assumptions with customers, and have applied Customer Development/Lean Startup principles to refine the model for improved success. During this final round of the competition, see the 3 Finalist Teams - Floe (Yale University), LiRA (University of North Carolina), and springrose (Northwestern University) compete for their share of a $125,000 cash prize.",
The Five Most Important Things One Should Know In Order to Create a Tech Company,Session,"3/25/2021, 12:50:00 PM","3/25/2021, 1:10:00 PM","Everyone has ideas. Some are good, and some you just know are going to go over like a lead balloon. But even if your idea is extraordinary, that doesn't mean you're going to be successful. Why? Because not everyone has what it takes to be an entrepreneur. Join us for an honest and educational conversation about the five most important things entrepreneurs should know in order to create a successful company from CEO & Founder of Tech Talent South, Betsy Hauser.",BETSY HAUSER
Procurement as a Path to Equitable Economies,Session,"3/25/2021, 1:15:00 PM","3/25/2021, 1:55:00 PM",Good Work Network hosts a discussi on with procurement leaders who have championed more equitable contracting within their organizations and with entrepreneurs who have secured pivotal contracts. The panel will discuss how organizations can restructure their systems and processes to create more opportunities for women and minority entrepreneurs and how business owners can prepare for such opportunities.,ROCSEAN SPENCER ; TIFFANY CARTER ; HERMIONE MALONE
Culture - from Parasitic to Symbiotic,Session,"3/25/2021, 2:00:00 PM","3/25/2021, 2:25:00 PM","In the past, tourism and the consumption of culture was a one-way transaction. We could ""consume"" the culture. Tourism markets the culture - a parasitic approach.This is harmful to our future - as gentrification and COVID have shown. We must recognize that our culture-bearers are our single-greatest strategic advantage that we have over any other city in the world.Feed the Second Line creates the possibi lity for culture to become a symbiotic relationship. By growing our monthly-donor base, we create a robust safety-net for our culture bearers. We currently buy groceries and assist culture-bearers in their needs - for example, roof repairs after Hurricane Zeta or installing a window-air-conditioning unit in the middle of the summer for an elder. Creating jobs specifically designed for black-masking-indians.....All of this is direct support for our culture. And if we shift to this model, we preserve our city's strategic advantage.",DEVIN DE WULF
New Orleans Music Economy: Making Music Make Money,Session,"3/25/2021, 2:30:00 PM","3/25/2021, 3:15:00 PM","New Orleans is synonymous with music: the birthplace of jazz, the home of more festivals than anywhere, and a place where people dance at weddings and funerals. And with dozens of recording studios, scores of award-winning music professionals, and some of the richest tax incentives in North America, New Orleans is not just home to the rhythm of music – it is also home to the business of music. Join us for an in-depth discussion, presented by Greater New Orleans, Inc. , on how New Orleans artists and music business leaders are elevating the New Orleans Music Economy, and the future of our region’s music industry.","JAY WEIGEL ; NICOLE ROBINSON ; NATE ""SUAVE"" CAMERON JR ; PELL . ; RAJ SMOOVE ; JASMINE BROWN"
2021 Tulane Business Model Competition Winner Announcement,Session,"3/25/2021, 3:20:00 PM","3/25/2021, 3:32:00 PM","You saw the competition, now see who wins! Join the Albert Lepage Center as they announce who comes in first, second, and third amongst Floe (Yale University), LiRA (University of North Carolina), and springrose (Northwestern University). Each of these companies is guaranteed to win money, with the first-place winner taking home $75,000.",
Thursday WorkNOLA Recruitment Power Hour Kickoff,Session,"3/25/2021, 3:30:00 PM","3/25/2021, 3:40:00 PM","The Idea Village has teamed up with GNO, inc to make NOEW a hub for recruitment where attendees will be able to network and connect with tech and innovation career opportunities in the Greater New Orleans area in the WorkNola Talent Den.Make sure to select ""Job Seeker"" during registration if you're interested in connecting with companies.",
WorkNOLA Spotlight Session: Evolve Media,Session,"3/25/2021, 3:40:00 PM","3/25/2021, 3:55:00 PM",Speakers: Matt Cimaglia - Co Founder & CEOMark Lewis - Senior Advisor,
WorkNOLA Recruitment Power Hour: Ochsner Health,Session,"3/25/2021, 3:55:00 PM","3/25/2021, 4:10:00 PM","Ochsner Health has been providing high-quality clinical and hospital patient care to the people of Louisiana, Mississippi and the Gulf South since 1942.  Our healthcare family—today, comprising more than 30,000 employees and over 4,500 providers in over 90 medical specialties and subspecialties—is driven by our commitment to our mission to Serve, Heal, Lead, Educate and Innovate, and that passion is shared with every person who passes through our doors. Ochsner Health is a not-for-profit committed to giving back to the communities it serves through preventative screenings, health and wellness resources and partnerships with innovative organizations that share our vision.",
In case you missed it: The Future of Justice,Session,"3/25/2021, 4:10:00 PM","3/25/2021, 4:30:00 PM","Simone Spence comes back to discuss: Civil justice regulatory reform is underway. It's a movement to create a system that works for all people and replace a system of regulatory reform that perpetuates racial, gender, and economic inequities. In response to the country's racial reckoning spurred by the deaths of George Floyd, Breonna Taylor, and Ahmaud Arbery, among others, there has been a leap-frog of reaffirmation of all things justice. Legal innovation and legal technology startups are leading the charge. The entire purpose of legal technology is to make the law more accessible and easier to navigate for lawyers, clients, and self-represented litigants alike. Technology is the future of the industry, and thus, those who shape the tech will shape the future of justice.",SIMONE SPENCE
