firstName,lastName,company,title,biography,facebookUrl,twitterUrl,linkedInUrl,profileImageUri,links
JENNIFER,LYLE,Lush Yummies Pie Co.,Owner/Head Chef,"Jennifer Lyle is the owner of Lush Yummies Pie Company LLC. She is the head chef and founder with a production kitchen in Detroit’s historical Eastern Market. Prior to Lush Yummies Pie Company, Lyle was a lead teacher in Atlanta Georgia through Teach for America where she served as 9th grade English teacher and cheerleading coach. She found herself often shelling out her own money to her girls for uniforms, so she began showing them how to make money through baked goods. After her teaching commitment was completed, she followed her passion for baking and began continuing her education at Le Cordon Bleu Culinary School in Miami in the patisserie and baking program. Jennifer also holds a bachelor’s degree from Howard University in communications and graphic design.

Jennifer later moved back to her hometown of Detroit Michigan and soon went back to her grandfather’s pie recipes. She decided to leave her job and pursue baking full time!  She had very little money and began seeking funding to start her pie business after selling her grandfathers pies at local Detroit events. She always enjoyed watching shark tank and came up with an idea to start participating in pitch competitions, she knew that she just needed a good presentation and she could get all the help that she needed. She tried out for a few competitions, four to be exact and lost all four competitions in a row. With each loss she learned valuable lessons about her business and how to perfect her pitch presentation. It wasn’t long before she would try to pitch again, she had the confidence to tackle any obstacle and so she did. She went out and won over 14 pitch and grant competitions to secure the funding, branding and technical assistance that she needed to give her business a boost!. Jennifer now has her own production facility in Eastern Market. She provides her best love family pies locally to national chain grocery stores, local markets and she ships her pies nationwide through online sales. Today Jennifer’s Lemon Butta Pies have won many awards and she spends her time growing Lush Yummies Pie Company to be a national brand!",https://www.facebook.com/lushyummiespieco,,,https://custom.cvent.com/a8c8ec4c05104789a0eb595eac25b252/files/event/6d45431e0aef41c8b8ac9ec3f7c1d5b1/9f76db89ead948dab9330e1fdfe62262.jpg,WEBSITE - https://www.lushyummiespie.co/ ; INSTAGRAM - http://https://www.instagram.com/lushyummiespieco/
DANIEL,LEONARD,DigCargo,Co-founder and CEO,"Daniel is an operator turned startup founder. He holds an MBA from Tulane University and has an extensive background in technology and business development. Daniel has spent a decade and a half at Chevron driving innovation through technology investments. In 2017, he merged paths with his co-founder to focus on the pain points in the freight logistics industry and DigCargo was born - a first of its kind integrated cloud technology platform to enable better business processes and communication for the freight trucking industry.  He resides in Mandeville with his wife and 3 children.",,https://twitter.com/digcargo,https://www.linkedin.com/company/digcargo/,https://custom.cvent.com/a8c8ec4c05104789a0eb595eac25b252/files/event/6d45431e0aef41c8b8ac9ec3f7c1d5b1/b49066ab672d49459ad34cc1b96b01cb.jpg,WEBSITE - https://www.digcargo.com/
CHRISTINA,WALLACE,Harvard Business School,Senior Lecturer of Entrepreneurial Management,"she/her/hers

A self-described “human Venn diagram” Christina Wallace has crafted a career at the intersection of business, technology, and the arts. She is a Senior Lecturer in the Entrepreneurial Management Unit at Harvard Business School where she teaches Entrepreneurial Marketing and The Entrepreneurial Manager in the MBA program and co-leads the Startup Bootcamp immersion program. Christina is also the co-host of The Limit Does Not Exist, a podcast about portfolio careers produced by iHeartRadio.  

Previously, Christina was vice president of growth at Bionic, an innovation consulting firm that builds startups inside large enterprises. Prior to joining Bionic, Christina founded BridgeUp: STEM, an edtech startup inside the American Museum of Natural History, was the founding director of Startup Institute New York, and the co-founder and CEO of venture-backed fashion company Quincy Apparel. She was also, very briefly, a management consultant with the Boston Consulting Group and began her career at the Metropolitan Opera. 

Christina holds undergraduate degrees in mathematics and theater studies from Emory University and an MBA from Harvard Business School. She is an active advisor to several startups and serves as a mentor for the Broadway Tech Accelerator and the NEW INC accelerator for startups at the intersection of art and technology. She regularly speaks, writes, and consults on a wide range of topics, ranging from failure and resilience to corporate innovation, from K12 computer science education to her viral TED talk detailing her successful approach to hacking online dating. Mashable called her one of “44 Female Founders to Know” and Refinery29 named her one of the ""Most Powerful Women in NYC Tech."" She has been featured in the Wall Street Journal, the Financial Times, Forbes, Inc, Fast Company, Quartz, Elle, and Marie Claire among others.

Christina is the co-author of New To Big: How Companies Can Create Like Entrepreneurs, Invest Like VCs, and Install a Permanent Operating System for Growth (April 2019, Penguin Random House—Crown).",,https://twitter.com/cmwalla,https://www.linkedin.com/in/christinawallace/,https://custom.cvent.com/a8c8ec4c05104789a0eb595eac25b252/files/event/6d45431e0aef41c8b8ac9ec3f7c1d5b1/5dec998a411340d5ad80aff6fbe205f1.jpg,Website - http://www.christinawallace.com/
PHILLIP,DODSON,Communify,Director of Web Development,"he/him/his

Phillip Dodson has 20+ years of web design experience, working with startup businesses, multi-million dollar nonprofits and everything in-between. At 15 years old, Phillip began making ugly websites for fun, but his curiosity and penchant for clear and succinct communication led him to work with the Louisiana Small Business Development Center, designing and building websites for small and emerging businesses. Wanting to expand his knowledge and grow as a professional, Phillip enrolled in Loyola University’s Bachelor of Arts in Design program in 2008. After he graduated in 2011, Phillip began working with Communify, a local marketing and advertising agency, where he started as a freelancer and eventually became an official part of the team. Phillip is passionate about great user experiences and focuses on accessibility and inclusivity in design.",,,https://www.linkedin.com/in/phillipdodson/,https://custom.cvent.com/a8c8ec4c05104789a0eb595eac25b252/files/event/6d45431e0aef41c8b8ac9ec3f7c1d5b1/34455f65aeb7420aac428f6c6481a694.jpg,WEBSITE - https://communify.me/
JAY,WEIGEL,"Floating City Music, Inc, MUSOS, Carondelet Music Group, LLC","Composer, Owner","he/him/his

Jay Weigel is a distinguished composer, producer, and contractor for film, television, recordings, and concerts.  He has worked in the film and television industry since 1984.  His recent scores and soundtrack recordings can be heard in studio projects produced by Warner Brothers, Paramount Pictures, Netflix, Universal Pictures, CBS, BET, in films/TV shows such as Green Lantern, Get Hard, A Fall From Grace, Camp Cool Kids, The Oval, For Colored Girls, The Last laugh, Paradise Lost, The Highwaymen, and NCIS New Orleans.  He has worked as an orchestrator, conductor, contractor and/or score preparer for composers and performers such as George S. Clinton, Christopher Young, David Wingo, Christopher Lennertz and Terence Blanchard.  As an arranger and orchestrator, he has worked with PJ Morton, Andra Day, REM, Tank and the Bangas, Chris Thomas King, Juvenile, Keala Settle, and Judith Owen.",,,,https://custom.cvent.com/a8c8ec4c05104789a0eb595eac25b252/files/event/6d45431e0aef41c8b8ac9ec3f7c1d5b1/ec1b76f606f942c5805fc83e78dc2f20.jpg,WEBSITE - https://jayweigel.com/
THERESA MARIE,"JONES, CSA",Evalv IQ LLC,CEO,"she/her/hers

Theresa Jones, CSA – After 17 years of mastering the sales and marketing industry, Theresa Jones entered the Cyber Security & Information Technology industries in 2016 and took it by storm. Theresa is playfully known as the Cyber Lady, yet there is nothing whimsical about her drive and determination to continue furthering her career professionally. She proudly serves on the Board of Directors as Membership Coordinator & IT Sector Chief for the InfraGard LA partnership with the FBI; and New Orleans Chamber of Commerce, Cyber Security Trainer and the Cyber Security Specialty Consultant for the LA Small Business Development Centers, and a host of other entities. Theresa is the owner and principal consultant for EVALV IQ (pronounced evolve). Her agency is the first female, minority-owned Cyber Security consulting firm in the state of Louisiana. EVALV IQ brings the latest technology, security resources, and cyber education into the southeastern market.",,,www.linkedin.com/in/theresa-marie-jones-cyber,https://custom.cvent.com/a8c8ec4c05104789a0eb595eac25b252/files/event/6d45431e0aef41c8b8ac9ec3f7c1d5b1/4e528e7e369c417aa5315c57b76765e5.jpg,WEBSITE - www.evalv.today
LOUIS,DAVID,New Orleans Business Alliance,"Vice President, Industry Attraction & Retention","Louis David is Vice President of Industry Attraction & Retention for the New Orleans Business Alliance (NOLABA).  NOLABA is a public/private organization that is the lead economic development organization for the City of New Orleans and Orleans Parish.  Louis works primarily recruiting and retaining companies and talent in the technology, manufacturing, bio, and emerging industries.

Louis serves as a board member of the Tulane Association of Business Alumni and served as the Co-Chair for the 2020 Tulane Business Forum.  Louis’ leadership experience has been enhanced through participating in the National League of Cities Equitable Economic Development Fellowship, the New Orleans Regional Leadership Institute, Bryan Bell Metropolitan Leadership Forum and the Youth Empowerment Project 40 Under 40 Cohort.  A Louisiana native, Louis holds an MBA from Tulane University and an BA in Journalism from Louisiana State University in Baton Rouge.",,,https://www.linkedin.com/in/louis-david-3bba0b15/,https://custom.cvent.com/a8c8ec4c05104789a0eb595eac25b252/files/event/6d45431e0aef41c8b8ac9ec3f7c1d5b1/1c4f7cd82a964203aaed8f4e30e75d0f.jpg,WEBSITE - https://www.nolaba.org/
ROB,HOLLAND,Feedback Loop,CEO,"Rob is the CEO at Feedback Loop. He's an accomplished C-level entrepreneur and executive who has consistently delivered high-impact results at venture and private equity-backed start-ups and businesses throughout his career. He has experience in global general management, as well as leadership roles at brand, retail, digital media, data & analytics, and technology & services companies such as Bluecore, Oracle, DataLogix and The Nielsen Company.",https://www.facebook.com/feedbackloopcom,https://twitter.com/feedbackloopcom,https://www.linkedin.com/company/feedbackloopcom/,https://custom.cvent.com/a8c8ec4c05104789a0eb595eac25b252/files/event/6d45431e0aef41c8b8ac9ec3f7c1d5b1/7132d281016b46a78f7056ff33c308bc.jpg,WEBSITE - https://feedbackloop.com/
DERRICK,STROZIER,JPMorgan Chase & Co.,Private Banker,"As a Tulane alumnus and Private Banker for JP Morgan, Derrick serves a multitude of clients and has developed a specialized focus on the needs of minority business owners, executives, and members of the sports and entertainment communities, to help them build a foundation of generational wealth. His personal experiences and authentic
relationships make him an invaluable resource to the clients he serves.

Derrick has been instrumental in bringing Shades of Wealth to New Orleans, a series of financial events tailored specifically for people of color. This initiative leverages the industry-leading research, services and platforms of the firm.

Following a short stint in the NFL, Derrick began his career in 2015 as an Advisor for Merrill Lynch. He was recruited to the Private
Bank from Morgan Stanley, where he was a strategic partner in their Global Sports & Entertainment Division. Derrick is pleased to work
for J.P. Morgan, a financial powerhouse that is engaged in diverse communities.",,https://twitter.com/D_Stro13,http://linkedin.com/in/derrick-strozier-3476427b,https://custom.cvent.com/a8c8ec4c05104789a0eb595eac25b252/files/event/6d45431e0aef41c8b8ac9ec3f7c1d5b1/f59124bbdf404448b7564eddd3b64452.jpeg,WEBSITE - https://privatebank.jpmorgan.com/gl/en/locations/united-states/louisiana/new-orleans
LUCIA,HONEY,Material Institute,Writer | Musician | Visual Artist,"she/her/hers

Lucia Honey is a writer, musician, and visual artist based in New Orleans. Working primarily in sound and video, she examines the diva archetype and embodies personas to deconstruct pop music tropes amidst sublime landscapes exploring the opposition of digital sound and nature.

She grew up outside of Philadelphia but has made the Gulf South her home. In 2020, she received a traveling fellowship from School of the Museum of Fine Arts and was awarded a residency at The Embassy Studio. She is currently finishing up her fourth album, Self Help, and writing a novel.",https://www.facebook.com/harmseduction,https://twitter.com/harmseduction,,https://custom.cvent.com/a8c8ec4c05104789a0eb595eac25b252/files/event/6d45431e0aef41c8b8ac9ec3f7c1d5b1/ab30fe66b74b444d9365b52e55f7e32b.png,WEBSITE - https://cargocollective.com/luciahoney ; INSTAGRAM - https://www.instagram.com/harmseduction/
WATER,SEED,,Musicians,"Bringing together a mixture Funk, Rock and Pop, Water Seed creates timeless yet immediate music with an edgy style and progressive consciousness. In the 10 plus years of performing and recording the band’s transformative energy has and appeal has only grown. In 2017 the band scored their first Billboard breaking album, We Are Stars. The following year they scored big with the release of their album Say Yeah, which debuted on 4 Billboard charts reaching number 17 on the R&B Charts.",https://www.facebook.com/waterseedmusic,https://twitter.com/WATERSEED,,https://custom.cvent.com/a8c8ec4c05104789a0eb595eac25b252/files/event/6d45431e0aef41c8b8ac9ec3f7c1d5b1/1e395642993e4b7b9af75b002dda52fd.jpg,WEBSITE - https://www.waterseedmusic.com/ ; INSTAGRAM - https://www.instagram.com/waterseedmusic/
MATT,WISDOM,Shutterstock,VP of 3D Strategy,"Matt manages Shutterstock’s (ticker:SSTK) 3D lines of business: TurboSquid, PixelSquid, and Kraken. Previously, Matt originated the idea and co-founded TurboSquid in 2000 as one of the web’s first digital marketplaces for stock media, which was acquired in 2021. Before TurboSquid, Matt entered the 3D industry as a founding partner and senior producer of 3D visual effects for Chimera Digital Imaging, a visual effects and 3D animation firm.

In 2005, he contributed the idea and co-authored the legislation for the Digital Interactive Media incentives for the state of Louisiana, widely cited as significantly contributing to the city’s entrepreneurial renaissance. More recently he co-chaired New Orleans Mayor LaToya Cantrell’s transition team as she took office in 2018. 

Matt serves as Chairman of the Board for the New Orleans Startup Fund, and as a trustee for the RosaMary Foundation. His awards and recognitions include being named “Technology Leader of the Year” for Louisiana by the Governor’s Office, and induction into the “Business Hall of Fame” by Junior Achievement. Matt graduated with a degree in History from Brown University in 1994 with a personal emphasis on software engineering. He is a member of the 2014 Class of Henry Crown Fellows at the Aspen Institute.",,https://twitter.com/WizSquid,https://www.linkedin.com/in/mattwisdom/,https://custom.cvent.com/a8c8ec4c05104789a0eb595eac25b252/files/event/6d45431e0aef41c8b8ac9ec3f7c1d5b1/4dd04d5245d74fd29e22aec3a880eb5d.png,INSTAGRAM - https://www.instagram.com/wizsquid/ ; WEBSITE - https://shutterstock.com/
SIMA,VASA,Infinity Squared Ventures,CEO and Founder,"Sima Vasa is a multi-faceted business leader in the market research and analytics space. Her broad range of expertise centers on management, operations, business development, marketing, entrepreneurship to investment banking. 

Currently, she is the CEO/Founder of Infinity Squared Ventures where she focuses on advising clients on overall business strategy, evaluation of strategic options, and execution of investment banking mandates via Oberon Securities, a middle-market investment banking firm. Frequently taking the stage at national technology and market research conferences, Sima is the host of her own podcast, Data Gurus, which has received national recognition as one of the leading podcasts in the market research and data ecosystem vertical.  

Sima continues to serve on the board of directors of Paradigm Sample, a company that she co-founded. In addition to her professional endeavors, Sima serves on the Women in Research Advisory board, serves on the Port Washington Public Library board of trustees as an elected official, and previously sat as the Chairman of SampleCon. She earned her MBA in Finance from NYU’s Stern School of Business, her undergraduate degree from Drexel University, and she’s a former member of the Young President’s Organization (YPO)",,,,https://custom.cvent.com/a8c8ec4c05104789a0eb595eac25b252/files/event/6d45431e0aef41c8b8ac9ec3f7c1d5b1/7293bfd350424121b9453a5e007540d9.png,WEBSITE - https://www.infinity-2.com/
JEREMY,KING,Attest,CEO and Founder,"Jeremy is CEO & Founder of Attest, a fast-scaling, >125 person SaaS technology business based in London and New York. 

Attest exists to generate new confidence for every decision, by making consumer research easy and actionable for all. We call it: Growth without Guesswork.
 
Prior to Attest, Jeremy spent 9 years with McKinsey & Company, leading teams across almost every industry sector, in >25 different countries. He also holds an MBA from Harvard Business School.
 
Originally a scientist focussing on genetics, ecology and animal behaviour, Jeremy’s scientific interests include synthetic biology, mathematical simulations and behavioural economics.
 
Attest is backed by investors including NEA, one of Silicon Valley's most significant venture investors with >225 portfolio company IPOs since 1977.
 
The company's ever-expanding client roster includes notable brands from Microsoft and Discovery, to TransferWise and Manscaped, and everything in between.
 
Jeremy is also the Chair of an education charity, which helps to support and improve 60 government elementary schools across some of the most challenging contexts in the UK.",https://www.facebook.com/askattest/,https://twitter.com/AskAttest,https://www.linkedin.com/company/attest-technologies-limited/,https://custom.cvent.com/a8c8ec4c05104789a0eb595eac25b252/files/event/6d45431e0aef41c8b8ac9ec3f7c1d5b1/9e07ba6744d149869c79afdfecf9cc8a.png,WEBSITE - https://www.askattest.com/
"NATE ""SUAVE""",CAMERON JR,glbl wrmng | Them People Productions,Co-Founder/President,"he/him/his

Music has always been synonymous with community for New Orleans native Nathaniel “Suave” Cameron, Jr. 

From honing his vocal talents amongst church family as an 8-year-old choir member to earning his place in a historic brotherhood connecting lauded musicians like Jon Batiste, Trombone Shorty, and Terrance Blanchard as a section leader of the St. Augustine Marching 100, the privilege of creating music has always provided Nate with a close-knit group of artists who inspired, educated, and protected each other.

Suave is still currently a part of the 2020 Grammy-Nominated (Best New Artist) band and collective Tank and The Bangas’ management & production team and has written, arranged, and produced multiple songs with the band as well.

He is the co-founder along with recording artist/producer Pell, of the New Orleans based hip hop and music business collective glbl
wrmng. The Founder of Liberated Soul Records, The Oakland Second Line Project, and co-Founder of the cultural curation team, Them People Productions and New Orleans youth music business mentorship program, Hitts After Hitts Enterprises.",,,http://linkedin.com/in/natecameron7,https://custom.cvent.com/a8c8ec4c05104789a0eb595eac25b252/files/event/6d45431e0aef41c8b8ac9ec3f7c1d5b1/73d7bf0d466d4da683bc4c1f5da02030.jpeg,WEBSITE - www.necameronjr.com
JOHN F,LANDRUM,"Intralox, LLC",Vice President for Product Development and Marketing,"A graduate of Georgetown University Law Center, John practiced business litigation for 10 years before joining Intralox in 1993. At Intralox, John previously served as European General Manager (in Amsterdam), and Leader of Business Development and Emerging Industries. He currently serves as Vice President for Product Development and Marketing. John is a named inventor on several US patents. He is the author of a WWII novel named The Jonkheer's Wife and is currently editing a stage play set in the Garden District, named Pleasant and Camp. John is creator and host of Triple Win Workplace podcast series. He was a co-founder and past president of Young Leadership Council, and was board chair of KIPP New Orleans Schools. John is married to Martha McDermott Landrum and has two adult children: Sarah and George.",,,https://www.linkedin.com/in/john-landrum-tww/,https://custom.cvent.com/a8c8ec4c05104789a0eb595eac25b252/files/event/6d45431e0aef41c8b8ac9ec3f7c1d5b1/f8573fb7c3e84e06b870f1847ad7e239.jpg,WEBSITE - www.intralox.com
